cluster_label,source_label,pair_index,atom_id,atom_type,element,full_coordination,internal_coordination,n_cut_bonds,internal_neighbor_ids,omitted_neighbor_ids
fieldZ_late_replica01_step17000_pair_08_water6A_scaffold8A,fieldZ_late_replica01_step17000,8,10440,2,N,0,0,0,,
fieldZ_late_replica01_step17000_pair_08_water6A_scaffold8A,fieldZ_late_replica01_step17000,8,10657,2,N,0,0,0,,
fieldZ_late_step17000_pair_04_water6A_scaffold8A,fieldZ_late_step17000,4,6397,1,B,0,0,0,,
fieldZ_late_step17000_pair_04_water6A_scaffold8A,fieldZ_late_step17000,4,6684,1,B,0,0,0,,
fieldZ_late_step17000_pair_04_water6A_scaffold8A,fieldZ_late_step17000,4,6685,2,N,0,0,0,,
fieldZ_late_step17000_pair_04_water6A_scaffold8A,fieldZ_late_step17000,4,6686,1,B,0,0,0,,
fieldZ_late_step17000_pair_04_water6A_scaffold8A,fieldZ_late_step17000,4,6972,2,N,0,0,0,,
fieldZ_late_step17000_pair_04_water6A_scaffold8A,fieldZ_late_step17000,4,6973,1,B,0,0,0,,
fieldZ_late_step17000_pair_04_water6A_scaffold8A,fieldZ_late_step17000,4,6974,2,N,0,0,0,,
fieldZ_late_step17000_pair_04_water6A_scaffold8A,fieldZ_late_step17000,4,7261,2,N,0,0,0,,
fieldZ_late_step17000_pair_05_water6A_scaffold8A,fieldZ_late_step17000,5,6349,1,B,0,0,0,,
fieldZ_late_step17000_pair_05_water6A_scaffold8A,fieldZ_late_step17000,5,6636,1,B,0,0,0,,
fieldZ_late_step17000_pair_05_water6A_scaffold8A,fieldZ_late_step17000,5,6637,2,N,0,0,0,,
fieldZ_late_step17000_pair_05_water6A_scaffold8A,fieldZ_late_step17000,5,6638,1,B,0,0,0,,
fieldZ_late_step17000_pair_05_water6A_scaffold8A,fieldZ_late_step17000,5,6924,2,N,0,0,0,,
fieldZ_late_step17000_pair_05_water6A_scaffold8A,fieldZ_late_step17000,5,6925,1,B,0,0,0,,
fieldZ_late_step17000_pair_05_water6A_scaffold8A,fieldZ_late_step17000,5,6926,2,N,0,0,0,,
fieldZ_late_step17000_pair_05_water6A_scaffold8A,fieldZ_late_step17000,5,7213,2,N,0,0,0,,
fieldZ_late_step17000_pair_07_water6A_scaffold8A,fieldZ_late_step17000,7,9841,1,B,0,0,0,,
fieldZ_late_step17000_pair_07_water6A_scaffold8A,fieldZ_late_step17000,7,10128,1,B,0,0,0,,
fieldZ_late_step17000_pair_07_water6A_scaffold8A,fieldZ_late_step17000,7,10129,2,N,0,0,0,,
fieldZ_late_step17000_pair_07_water6A_scaffold8A,fieldZ_late_step17000,7,10130,1,B,0,0,0,,
fieldZ_late_step17000_pair_07_water6A_scaffold8A,fieldZ_late_step17000,7,10416,2,N,0,0,0,,
fieldZ_late_step17000_pair_07_water6A_scaffold8A,fieldZ_late_step17000,7,10417,1,B,0,0,0,,
fieldZ_late_step17000_pair_07_water6A_scaffold8A,fieldZ_late_step17000,7,10418,2,N,0,0,0,,
fieldZ_late_step17000_pair_07_water6A_scaffold8A,fieldZ_late_step17000,7,10705,2,N,0,0,0,,
fieldZ_late_step17000_pair_08_water6A_scaffold8A,fieldZ_late_step17000,8,9793,1,B,0,0,0,,
fieldZ_late_step17000_pair_08_water6A_scaffold8A,fieldZ_late_step17000,8,10081,2,N,0,0,0,,
fieldZ_late_step17000_pair_08_water6A_scaffold8A,fieldZ_late_step17000,8,10082,1,B,0,0,0,,
fieldZ_late_step17000_pair_08_water6A_scaffold8A,fieldZ_late_step17000,8,10152,1,B,0,0,0,,
fieldZ_late_step17000_pair_08_water6A_scaffold8A,fieldZ_late_step17000,8,10369,1,B,0,0,0,,
fieldZ_late_step17000_pair_08_water6A_scaffold8A,fieldZ_late_step17000,8,10370,2,N,0,0,0,,
fieldZ_late_step17000_pair_08_water6A_scaffold8A,fieldZ_late_step17000,8,10440,2,N,0,0,0,,
fieldZ_late_step17000_pair_08_water6A_scaffold8A,fieldZ_late_step17000,8,10657,2,N,0,0,0,,
fieldfree_step14000_pair_04_water6A_scaffold8A,fieldfree_step14000,4,6397,1,B,0,0,0,,
fieldfree_step14000_pair_04_water6A_scaffold8A,fieldfree_step14000,4,6684,1,B,0,0,0,,
fieldfree_step14000_pair_04_water6A_scaffold8A,fieldfree_step14000,4,6685,2,N,0,0,0,,
fieldfree_step14000_pair_04_water6A_scaffold8A,fieldfree_step14000,4,6686,1,B,0,0,0,,
fieldfree_step14000_pair_04_water6A_scaffold8A,fieldfree_step14000,4,6972,2,N,0,0,0,,
fieldfree_step14000_pair_04_water6A_scaffold8A,fieldfree_step14000,4,6973,1,B,0,0,0,,
fieldfree_step14000_pair_04_water6A_scaffold8A,fieldfree_step14000,4,6974,2,N,0,0,0,,
fieldfree_step14000_pair_04_water6A_scaffold8A,fieldfree_step14000,4,7261,2,N,0,0,0,,
fieldfree_step14000_pair_05_water6A_scaffold8A,fieldfree_step14000,5,6349,1,B,0,0,0,,
fieldfree_step14000_pair_05_water6A_scaffold8A,fieldfree_step14000,5,6636,1,B,0,0,0,,
fieldfree_step14000_pair_05_water6A_scaffold8A,fieldfree_step14000,5,6637,2,N,0,0,0,,
fieldfree_step14000_pair_05_water6A_scaffold8A,fieldfree_step14000,5,6638,1,B,0,0,0,,
fieldfree_step14000_pair_05_water6A_scaffold8A,fieldfree_step14000,5,6924,2,N,0,0,0,,
fieldfree_step14000_pair_05_water6A_scaffold8A,fieldfree_step14000,5,6925,1,B,0,0,0,,
fieldfree_step14000_pair_05_water6A_scaffold8A,fieldfree_step14000,5,6926,2,N,0,0,0,,
fieldfree_step14000_pair_05_water6A_scaffold8A,fieldfree_step14000,5,7213,2,N,0,0,0,,
fieldfree_step14000_pair_07_water6A_scaffold8A,fieldfree_step14000,7,9841,1,B,0,0,0,,
fieldfree_step14000_pair_07_water6A_scaffold8A,fieldfree_step14000,7,10128,1,B,0,0,0,,
fieldfree_step14000_pair_07_water6A_scaffold8A,fieldfree_step14000,7,10129,2,N,0,0,0,,
fieldfree_step14000_pair_07_water6A_scaffold8A,fieldfree_step14000,7,10130,1,B,0,0,0,,
fieldfree_step14000_pair_07_water6A_scaffold8A,fieldfree_step14000,7,10416,2,N,0,0,0,,
fieldfree_step14000_pair_07_water6A_scaffold8A,fieldfree_step14000,7,10417,1,B,0,0,0,,
fieldfree_step14000_pair_07_water6A_scaffold8A,fieldfree_step14000,7,10418,2,N,0,0,0,,
fieldfree_step14000_pair_07_water6A_scaffold8A,fieldfree_step14000,7,10705,2,N,0,0,0,,
fieldfree_step14000_pair_08_water6A_scaffold8A,fieldfree_step14000,8,9793,1,B,0,0,0,,
fieldfree_step14000_pair_08_water6A_scaffold8A,fieldfree_step14000,8,10081,2,N,0,0,0,,
fieldfree_step14000_pair_08_water6A_scaffold8A,fieldfree_step14000,8,10082,1,B,0,0,0,,
fieldfree_step14000_pair_08_water6A_scaffold8A,fieldfree_step14000,8,10152,1,B,0,0,0,,
fieldfree_step14000_pair_08_water6A_scaffold8A,fieldfree_step14000,8,10369,1,B,0,0,0,,
fieldfree_step14000_pair_08_water6A_scaffold8A,fieldfree_step14000,8,10370,2,N,0,0,0,,
fieldfree_step14000_pair_08_water6A_scaffold8A,fieldfree_step14000,8,10440,2,N,0,0,0,,
fieldfree_step14000_pair_08_water6A_scaffold8A,fieldfree_step14000,8,10657,2,N,0,0,0,,
