source_label,source_frame,source_timestep,pair_index,cluster_label,n_selected_chains,selected_chain_components,half_window_sites,water_cutoff_A,n_atoms,n_scaffold_atoms,n_water_molecules,n_chromophore_sites,xyz,mapping_csv,chain_rank_csv,qm_ready,status
fieldZ_early_step2000,systems/hybrid/bn_like_chromophore_scaffold_water/representative_frames/fieldZ_early_step_2000.lammpstrj,2000,4,fieldZ_early_step2000_pair_04_chains3_half5_water6A,3,61 60 62,5,6.0,41,33,2,2,systems/hybrid/bn_like_chromophore_scaffold_water/topological_embedding_clusters/fieldZ_early_step2000_pair_04_chains3_half5_water6A.xyz,systems/hybrid/bn_like_chromophore_scaffold_water/topological_embedding_clusters/fieldZ_early_step2000_pair_04_chains3_half5_water6A_mapping.csv,systems/hybrid/bn_like_chromophore_scaffold_water/topological_embedding_clusters/fieldZ_early_step2000_pair_04_chains3_half5_water6A_chain_rank.csv,False,coarse_grained_embedding_cluster_not_qm_ready
fieldZ_early_step2000,systems/hybrid/bn_like_chromophore_scaffold_water/representative_frames/fieldZ_early_step_2000.lammpstrj,2000,5,fieldZ_early_step2000_pair_05_chains3_half5_water6A,3,13 14 12,5,6.0,38,33,1,2,systems/hybrid/bn_like_chromophore_scaffold_water/topological_embedding_clusters/fieldZ_early_step2000_pair_05_chains3_half5_water6A.xyz,systems/hybrid/bn_like_chromophore_scaffold_water/topological_embedding_clusters/fieldZ_early_step2000_pair_05_chains3_half5_water6A_mapping.csv,systems/hybrid/bn_like_chromophore_scaffold_water/topological_embedding_clusters/fieldZ_early_step2000_pair_05_chains3_half5_water6A_chain_rank.csv,False,coarse_grained_embedding_cluster_not_qm_ready
fieldZ_early_step2000,systems/hybrid/bn_like_chromophore_scaffold_water/representative_frames/fieldZ_early_step_2000.lammpstrj,2000,7,fieldZ_early_step2000_pair_07_chains3_half5_water6A,3,49 50 48,5,6.0,35,33,0,2,systems/hybrid/bn_like_chromophore_scaffold_water/topological_embedding_clusters/fieldZ_early_step2000_pair_07_chains3_half5_water6A.xyz,systems/hybrid/bn_like_chromophore_scaffold_water/topological_embedding_clusters/fieldZ_early_step2000_pair_07_chains3_half5_water6A_mapping.csv,systems/hybrid/bn_like_chromophore_scaffold_water/topological_embedding_clusters/fieldZ_early_step2000_pair_07_chains3_half5_water6A_chain_rank.csv,False,coarse_grained_embedding_cluster_not_qm_ready
fieldZ_early_step2000,systems/hybrid/bn_like_chromophore_scaffold_water/representative_frames/fieldZ_early_step_2000.lammpstrj,2000,8,fieldZ_early_step2000_pair_08_chains3_half5_water6A,3,1 2 72,5,6.0,44,33,3,2,systems/hybrid/bn_like_chromophore_scaffold_water/topological_embedding_clusters/fieldZ_early_step2000_pair_08_chains3_half5_water6A.xyz,systems/hybrid/bn_like_chromophore_scaffold_water/topological_embedding_clusters/fieldZ_early_step2000_pair_08_chains3_half5_water6A_mapping.csv,systems/hybrid/bn_like_chromophore_scaffold_water/topological_embedding_clusters/fieldZ_early_step2000_pair_08_chains3_half5_water6A_chain_rank.csv,False,coarse_grained_embedding_cluster_not_qm_ready
fieldZ_intermediate_step12000,systems/hybrid/bn_like_chromophore_scaffold_water/representative_frames/fieldZ_intermediate_step_12000.lammpstrj,12000,4,fieldZ_intermediate_step12000_pair_04_chains3_half5_water6A,3,61 60 62,5,6.0,38,33,1,2,systems/hybrid/bn_like_chromophore_scaffold_water/topological_embedding_clusters/fieldZ_intermediate_step12000_pair_04_chains3_half5_water6A.xyz,systems/hybrid/bn_like_chromophore_scaffold_water/topological_embedding_clusters/fieldZ_intermediate_step12000_pair_04_chains3_half5_water6A_mapping.csv,systems/hybrid/bn_like_chromophore_scaffold_water/topological_embedding_clusters/fieldZ_intermediate_step12000_pair_04_chains3_half5_water6A_chain_rank.csv,False,coarse_grained_embedding_cluster_not_qm_ready
fieldZ_intermediate_step12000,systems/hybrid/bn_like_chromophore_scaffold_water/representative_frames/fieldZ_intermediate_step_12000.lammpstrj,12000,5,fieldZ_intermediate_step12000_pair_05_chains3_half5_water6A,3,13 14 12,5,6.0,44,33,3,2,systems/hybrid/bn_like_chromophore_scaffold_water/topological_embedding_clusters/fieldZ_intermediate_step12000_pair_05_chains3_half5_water6A.xyz,systems/hybrid/bn_like_chromophore_scaffold_water/topological_embedding_clusters/fieldZ_intermediate_step12000_pair_05_chains3_half5_water6A_mapping.csv,systems/hybrid/bn_like_chromophore_scaffold_water/topological_embedding_clusters/fieldZ_intermediate_step12000_pair_05_chains3_half5_water6A_chain_rank.csv,False,coarse_grained_embedding_cluster_not_qm_ready
fieldZ_intermediate_step12000,systems/hybrid/bn_like_chromophore_scaffold_water/representative_frames/fieldZ_intermediate_step_12000.lammpstrj,12000,7,fieldZ_intermediate_step12000_pair_07_chains3_half5_water6A,3,49 50 48,5,6.0,35,33,0,2,systems/hybrid/bn_like_chromophore_scaffold_water/topological_embedding_clusters/fieldZ_intermediate_step12000_pair_07_chains3_half5_water6A.xyz,systems/hybrid/bn_like_chromophore_scaffold_water/topological_embedding_clusters/fieldZ_intermediate_step12000_pair_07_chains3_half5_water6A_mapping.csv,systems/hybrid/bn_like_chromophore_scaffold_water/topological_embedding_clusters/fieldZ_intermediate_step12000_pair_07_chains3_half5_water6A_chain_rank.csv,False,coarse_grained_embedding_cluster_not_qm_ready
fieldZ_intermediate_step12000,systems/hybrid/bn_like_chromophore_scaffold_water/representative_frames/fieldZ_intermediate_step_12000.lammpstrj,12000,8,fieldZ_intermediate_step12000_pair_08_chains3_half5_water6A,3,1 2 72,5,6.0,44,33,3,2,systems/hybrid/bn_like_chromophore_scaffold_water/topological_embedding_clusters/fieldZ_intermediate_step12000_pair_08_chains3_half5_water6A.xyz,systems/hybrid/bn_like_chromophore_scaffold_water/topological_embedding_clusters/fieldZ_intermediate_step12000_pair_08_chains3_half5_water6A_mapping.csv,systems/hybrid/bn_like_chromophore_scaffold_water/topological_embedding_clusters/fieldZ_intermediate_step12000_pair_08_chains3_half5_water6A_chain_rank.csv,False,coarse_grained_embedding_cluster_not_qm_ready
fieldZ_late_replica01_step17000,systems/hybrid/bn_like_chromophore_scaffold_water/representative_frames/fieldZ_late_replica01_step_17000.lammpstrj,17000,4,fieldZ_late_replica01_step17000_pair_04_chains3_half5_water6A,3,61 60 62,5,6.0,38,33,1,2,systems/hybrid/bn_like_chromophore_scaffold_water/topological_embedding_clusters/fieldZ_late_replica01_step17000_pair_04_chains3_half5_water6A.xyz,systems/hybrid/bn_like_chromophore_scaffold_water/topological_embedding_clusters/fieldZ_late_replica01_step17000_pair_04_chains3_half5_water6A_mapping.csv,systems/hybrid/bn_like_chromophore_scaffold_water/topological_embedding_clusters/fieldZ_late_replica01_step17000_pair_04_chains3_half5_water6A_chain_rank.csv,False,coarse_grained_embedding_cluster_not_qm_ready
fieldZ_late_replica01_step17000,systems/hybrid/bn_like_chromophore_scaffold_water/representative_frames/fieldZ_late_replica01_step_17000.lammpstrj,17000,5,fieldZ_late_replica01_step17000_pair_05_chains3_half5_water6A,3,13 14 12,5,6.0,41,33,2,2,systems/hybrid/bn_like_chromophore_scaffold_water/topological_embedding_clusters/fieldZ_late_replica01_step17000_pair_05_chains3_half5_water6A.xyz,systems/hybrid/bn_like_chromophore_scaffold_water/topological_embedding_clusters/fieldZ_late_replica01_step17000_pair_05_chains3_half5_water6A_mapping.csv,systems/hybrid/bn_like_chromophore_scaffold_water/topological_embedding_clusters/fieldZ_late_replica01_step17000_pair_05_chains3_half5_water6A_chain_rank.csv,False,coarse_grained_embedding_cluster_not_qm_ready
