cluster_atom_index,original_atom_id,original_molecule_id,atom_type,element,x_A,y_A,z_A
1,5532,0,1,B,29.5833,-63.4415,-35.5932
2,5533,0,2,N,35.0,-60.6218,-35.5932
3,5534,0,1,B,40.1504,-57.3406,-35.5932
4,5820,0,2,N,29.5833,-63.4415,-32.2034
5,5821,0,1,B,35.0,-60.6218,-32.2034
6,5822,0,2,N,40.1504,-57.3406,-32.2034
7,6108,0,1,B,29.5833,-63.4415,-28.8136
8,6109,0,2,N,35.0,-60.6218,-28.8136
9,6110,0,1,B,40.1504,-57.3406,-28.8136
10,6396,0,2,N,29.5833,-63.4415,-25.4237
11,6397,0,1,B,35.0,-60.6218,-25.4237
12,6398,0,2,N,40.1504,-57.3406,-25.4237
13,6684,0,1,B,29.5833,-63.4415,-22.0339
14,6685,0,2,N,35.0,-60.6218,-22.0339
15,6686,0,1,B,40.1504,-57.3406,-22.0339
16,6972,0,2,N,29.5833,-63.4415,-18.6441
17,6973,0,1,B,35.0,-60.6218,-18.6441
18,6974,0,2,N,40.1504,-57.3406,-18.6441
19,7260,0,1,B,29.5833,-63.4415,-15.2542
20,7261,0,2,N,35.0,-60.6218,-15.2542
21,7262,0,1,B,40.1504,-57.3406,-15.2542
22,7548,0,2,N,29.5833,-63.4415,-11.8644
23,7549,0,1,B,35.0,-60.6218,-11.8644
24,7550,0,2,N,40.1504,-57.3406,-11.8644
25,7836,0,1,B,29.5833,-63.4415,-8.47458
26,7837,0,2,N,35.0,-60.6218,-8.47458
27,7838,0,1,B,40.1504,-57.3406,-8.47458
28,8124,0,2,N,29.5833,-63.4415,-5.08475
29,8125,0,1,B,35.0,-60.6218,-5.08475
30,8126,0,2,N,40.1504,-57.3406,-5.08475
31,8412,0,1,B,29.5833,-63.4415,-1.69491
32,8413,0,2,N,35.0,-60.6218,-1.69491
33,8414,0,1,B,40.1504,-57.3406,-1.69491
34,38398,8040,3,O,37.162,-58.696,-22.5719
35,38399,8040,4,H,37.0402,-58.7792,-23.5176
36,38400,8040,4,H,36.6139,-59.3859,-22.1978
37,93691,26471,3,O,31.0125,-61.8727,-23.6756
38,93692,26471,4,H,30.2854,-62.001,-24.2848
39,93693,26471,4,H,31.6688,-62.5146,-23.9468
40,107291,31006,5,X,33.0,-57.1577,-21.0
41,107292,31006,6,X,33.0,-57.1577,-19.0
