cluster_atom_index,original_atom_id,original_molecule_id,atom_type,element,x_A,y_A,z_A
1,8641,0,1,B,70.0,0.0,1.69491
2,8642,0,2,N,69.7336,6.1009,1.69491
3,8712,0,2,N,69.7336,-6.1009,1.69491
4,8929,0,2,N,70.0,0.0,5.08475
5,8930,0,1,B,69.7336,6.1009,5.08475
6,9000,0,1,B,69.7336,-6.1009,5.08475
7,9217,0,1,B,70.0,0.0,8.47458
8,9218,0,2,N,69.7336,6.1009,8.47458
9,9288,0,2,N,69.7336,-6.1009,8.47458
10,9505,0,2,N,70.0,0.0,11.8644
11,9506,0,1,B,69.7336,6.1009,11.8644
12,9576,0,1,B,69.7336,-6.1009,11.8644
13,9793,0,1,B,70.0,0.0,15.2542
14,9794,0,2,N,69.7336,6.1009,15.2542
15,9864,0,2,N,69.7336,-6.1009,15.2542
16,10081,0,2,N,70.0,0.0,18.6441
17,10082,0,1,B,69.7336,6.1009,18.6441
18,10152,0,1,B,69.7336,-6.1009,18.6441
19,10369,0,1,B,70.0,0.0,22.0339
20,10370,0,2,N,69.7336,6.1009,22.0339
21,10440,0,2,N,69.7336,-6.1009,22.0339
22,10657,0,2,N,70.0,0.0,25.4237
23,10658,0,1,B,69.7336,6.1009,25.4237
24,10728,0,1,B,69.7336,-6.1009,25.4237
25,10945,0,1,B,70.0,0.0,28.8136
26,10946,0,2,N,69.7336,6.1009,28.8136
27,11016,0,2,N,69.7336,-6.1009,28.8136
28,11233,0,2,N,70.0,0.0,32.2034
29,11234,0,1,B,69.7336,6.1009,32.2034
30,11304,0,1,B,69.7336,-6.1009,32.2034
31,11521,0,1,B,70.0,0.0,35.5932
32,11522,0,2,N,69.7336,6.1009,35.5932
33,11592,0,2,N,69.7336,-6.1009,35.5932
34,20245,1989,3,O,60.7524,-1.39875,21.3172
35,20246,1989,4,H,61.0046,-2.32212,21.3233
36,20247,1989,4,H,60.6125,-1.18202,22.2389
37,32218,5980,3,O,62.0368,1.53331,24.5611
38,32219,5980,4,H,61.7029,2.13154,25.2296
39,32220,5980,4,H,62.9021,1.87827,24.3409
40,107297,31009,5,X,66.0,0.0,19.0
41,107298,31009,6,X,66.0,0.0,21.0
