frame,time_ps,site,n_atoms,n_carbon_atoms,carbon_centroid_x_A,carbon_centroid_y_A,carbon_centroid_z_A,all_atom_centroid_x_A,all_atom_centroid_y_A,all_atom_centroid_z_A,source_output
8,40.0,PYR3,26,16,36.971875,53.464375,43.391875,36.97153846153846,53.46423076923077,43.39115384615385,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame008_PYR3_embedding/frame008_PYR3_embedding.out
8,40.0,PYR4,26,16,20.480625,36.971875,56.783750000000005,20.48038461538461,36.97153846153846,56.783076923076926,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame008_PYR4_embedding/frame008_PYR4_embedding.out
8,40.0,PYR5,26,16,36.970000000000006,19.2875,70.175,36.96923076923077,19.290769230769232,70.17499999999998,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame008_PYR5_embedding/frame008_PYR5_embedding.out
9,45.0,PYR2,26,16,53.465624999999996,36.9725,29.99875,53.464999999999996,36.9726923076923,29.99923076923077,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame009_PYR2_embedding/frame009_PYR2_embedding.out
9,45.0,PYR3,26,16,36.971875,53.464375,43.391875,36.97153846153846,53.46423076923077,43.39115384615385,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame009_PYR3_embedding/frame009_PYR3_embedding.out
9,45.0,PYR4,26,16,20.480625,36.971875,56.783750000000005,20.48038461538461,36.97153846153846,56.783076923076926,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame009_PYR4_embedding/frame009_PYR4_embedding.out
9,45.0,PYR5,26,16,36.970000000000006,19.2875,70.175,36.96923076923077,19.290769230769232,70.17499999999998,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame009_PYR5_embedding/frame009_PYR5_embedding.out
10,50.0,PYR2,26,16,53.465624999999996,36.9725,29.99875,53.464999999999996,36.9726923076923,29.99923076923077,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR2_embedding/frame010_PYR2_embedding.out
10,50.0,PYR3,26,16,36.971875,53.464375,43.391875,36.97153846153846,53.46423076923077,43.39115384615385,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR3_embedding/frame010_PYR3_embedding.out
10,50.0,PYR4,26,16,20.480625,36.971875,56.783750000000005,20.48038461538461,36.97153846153846,56.783076923076926,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR4_embedding/frame010_PYR4_embedding.out
10,50.0,PYR5,26,16,36.970000000000006,19.2875,70.175,36.96923076923077,19.290769230769232,70.17499999999998,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR5_embedding/frame010_PYR5_embedding.out
