node_id,element,node_type,end,x_nm,y_nm,z_nm,coordinate_source,energy_minimized,MD_relaxed
A:LOWER:-10:-2,N,ANNULUS_INTERIOR,LOWER,3.9484310986735465,4.422199315879867,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-10:-4,N,ANNULUS_INTERIOR,LOWER,4.199531700397307,4.4222002984319495,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-10:-6,N,ANNULUS_OUTER_BOUNDARY,LOWER,4.450632302121067,4.422201280984032,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-10:0,N,ANNULUS_INTERIOR,LOWER,3.697330496949786,4.422198333327784,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-10:2,N,ANNULUS_INTERIOR,LOWER,3.4462298952260255,4.422197350775701,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-10:4,N,ANNULUS_INTERIOR,LOWER,3.1951292935022653,4.422196368223619,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-10:6,N,ANNULUS_OUTER_BOUNDARY,LOWER,2.944028691778505,4.422195385671536,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-11:-1,B,ANNULUS_INTERIOR,LOWER,3.8228805141733115,4.49468532460327,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-11:-3,B,ANNULUS_INTERIOR,LOWER,4.073981115897072,4.494686307155353,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-11:-5,B,ANNULUS_INTERIOR,LOWER,4.325081717620833,4.494687289707436,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-11:1,B,ANNULUS_INTERIOR,LOWER,3.5717799124495513,4.494684342051189,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-11:3,B,ANNULUS_INTERIOR,LOWER,3.3206793107257906,4.494683359499105,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-11:5,B,ANNULUS_INTERIOR,LOWER,3.069578709002031,4.494682376947022,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-13:-1,N,ANNULUS_INTERIOR,LOWER,3.8228799468966024,4.639658324602161,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-13:-3,N,ANNULUS_INTERIOR,LOWER,4.073980548620363,4.6396593071542425,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-13:-5,N,ANNULUS_OUTER_BOUNDARY,LOWER,4.325081150344123,4.639660289706326,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-13:1,N,ANNULUS_INTERIOR,LOWER,3.571779345172842,4.639657342050078,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-13:3,N,ANNULUS_INTERIOR,LOWER,3.3206787434490814,4.639656359497995,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-13:5,N,ANNULUS_OUTER_BOUNDARY,LOWER,3.069578141725321,4.639655376945913,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-14:-2,B,ANNULUS_OUTER_BOUNDARY,LOWER,3.948429964120128,4.712145315877647,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-14:-4,B,ANNULUS_OUTER_BOUNDARY,LOWER,4.199530565843888,4.7121462984297295,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-14:0,B,ANNULUS_OUTER_BOUNDARY,LOWER,3.6973293623963674,4.712144333325564,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-14:2,B,ANNULUS_OUTER_BOUNDARY,LOWER,3.446228760672607,4.712143350773482,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-14:4,B,ANNULUS_OUTER_BOUNDARY,LOWER,3.1951281589488465,4.712142368221398,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-1:-5,N,ANNULUS_INTERIOR,LOWER,4.32508455400438,3.7698222897129847,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-1:-7,N,ANNULUS_INTERIOR,LOWER,4.57618515572814,3.7698232722650675,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-1:-9,N,ANNULUS_OUTER_BOUNDARY,LOWER,4.827285757451901,3.76982425481715,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-1:5,N,ANNULUS_INTERIOR,LOWER,3.0695815453855775,3.7698173769525716,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-1:7,N,ANNULUS_INTERIOR,LOWER,2.818480943661817,3.769816394400489,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-1:9,N,ANNULUS_OUTER_BOUNDARY,LOWER,2.5673803419380565,3.7698154118484064,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-2:-4,B,ANNULUS_INNER_BOUNDARY,LOWER,4.199533969504145,3.8423082984363885,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-2:-6,B,ANNULUS_INTERIOR,LOWER,4.450634571227905,3.842309280988471,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-2:-8,B,ANNULUS_INTERIOR,LOWER,4.701735172951666,3.842310263540554,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-2:4,B,ANNULUS_INNER_BOUNDARY,LOWER,3.195131562609103,3.842304368228058,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-2:6,B,ANNULUS_INTERIOR,LOWER,2.9440309608853426,3.8423033856759754,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-2:8,B,ANNULUS_INTERIOR,LOWER,2.692930359161582,3.8423024031238926,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-4:-4,N,ANNULUS_INTERIOR,LOWER,4.199533402227435,3.9872812984352786,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-4:-6,N,ANNULUS_INTERIOR,LOWER,4.450634003951196,3.9872822809873614,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-4:-8,N,ANNULUS_OUTER_BOUNDARY,LOWER,4.7017346056749565,3.987283263539444,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-4:4,N,ANNULUS_INTERIOR,LOWER,3.1951309953323936,3.9872773682269482,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-4:6,N,ANNULUS_INTERIOR,LOWER,2.944030393608633,3.9872763856748654,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-4:8,N,ANNULUS_OUTER_BOUNDARY,LOWER,2.6929297918848727,3.987275403122783,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-5:-3,B,ANNULUS_INNER_BOUNDARY,LOWER,4.073982817727201,4.059767307158682,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-5:-5,B,ANNULUS_INTERIOR,LOWER,4.32508341945096,4.059768289710765,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-5:-7,B,ANNULUS_INTERIOR,LOWER,4.576184021174721,4.059769272262848,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-5:3,B,ANNULUS_INNER_BOUNDARY,LOWER,3.320681012555919,4.059764359502434,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:-5:5,B,ANNULUS_INTERIOR,LOWER,3.0695804108321587,4.059763376950352,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
