calculation_type,frame,cluster,job,root,is_tracked_root,pair_rank,pair_label,orbital_role,orbital_index,orbital_spin,nto_file,cube_file
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,2,False,1,52a->53a,hole,52,a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame005_PYR5_embedding_nto_s1_s2/frame005_PYR5_embedding_nto_s1_s2.s2.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame005_PYR5_embedding_nto_s1_s2/frame005_PYR5_embedding_nto_s1_s2.s2.mo52a.cube
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,2,False,1,52a->53a,particle,53,a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame005_PYR5_embedding_nto_s1_s2/frame005_PYR5_embedding_nto_s1_s2.s2.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame005_PYR5_embedding_nto_s1_s2/frame005_PYR5_embedding_nto_s1_s2.s2.mo53a.cube
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,2,False,2,51a->54a,hole,51,a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame005_PYR5_embedding_nto_s1_s2/frame005_PYR5_embedding_nto_s1_s2.s2.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame005_PYR5_embedding_nto_s1_s2/frame005_PYR5_embedding_nto_s1_s2.s2.mo51a.cube
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,2,False,2,51a->54a,particle,54,a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame005_PYR5_embedding_nto_s1_s2/frame005_PYR5_embedding_nto_s1_s2.s2.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame005_PYR5_embedding_nto_s1_s2/frame005_PYR5_embedding_nto_s1_s2.s2.mo54a.cube
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,1,True,1,52a->53a,hole,52,a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame013_PYR5_embedding_nto_s1_s2/frame013_PYR5_embedding_nto_s1_s2.s1.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame013_PYR5_embedding_nto_s1_s2/frame013_PYR5_embedding_nto_s1_s2.s1.mo52a.cube
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,1,True,1,52a->53a,particle,53,a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame013_PYR5_embedding_nto_s1_s2/frame013_PYR5_embedding_nto_s1_s2.s1.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame013_PYR5_embedding_nto_s1_s2/frame013_PYR5_embedding_nto_s1_s2.s1.mo53a.cube
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,2,False,1,52a->53a,hole,52,a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame013_PYR5_embedding_nto_s1_s2/frame013_PYR5_embedding_nto_s1_s2.s2.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame013_PYR5_embedding_nto_s1_s2/frame013_PYR5_embedding_nto_s1_s2.s2.mo52a.cube
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,2,False,1,52a->53a,particle,53,a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame013_PYR5_embedding_nto_s1_s2/frame013_PYR5_embedding_nto_s1_s2.s2.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame013_PYR5_embedding_nto_s1_s2/frame013_PYR5_embedding_nto_s1_s2.s2.mo53a.cube
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,2,False,2,51a->54a,hole,51,a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame013_PYR5_embedding_nto_s1_s2/frame013_PYR5_embedding_nto_s1_s2.s2.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame013_PYR5_embedding_nto_s1_s2/frame013_PYR5_embedding_nto_s1_s2.s2.mo51a.cube
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,2,False,2,51a->54a,particle,54,a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame013_PYR5_embedding_nto_s1_s2/frame013_PYR5_embedding_nto_s1_s2.s2.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame013_PYR5_embedding_nto_s1_s2/frame013_PYR5_embedding_nto_s1_s2.s2.mo54a.cube
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,1,False,1,52a->53a,hole,52,a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR2_vacuum_reference_nto_s1_s2/frame000_PYR2_vacuum_reference_nto_s1_s2.s1.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR2_vacuum_reference_nto_s1_s2/frame000_PYR2_vacuum_reference_nto_s1_s2.s1.mo52a.cube
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,1,False,1,52a->53a,particle,53,a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR2_vacuum_reference_nto_s1_s2/frame000_PYR2_vacuum_reference_nto_s1_s2.s1.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR2_vacuum_reference_nto_s1_s2/frame000_PYR2_vacuum_reference_nto_s1_s2.s1.mo53a.cube
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,1,False,2,51a->54a,hole,51,a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR2_vacuum_reference_nto_s1_s2/frame000_PYR2_vacuum_reference_nto_s1_s2.s1.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR2_vacuum_reference_nto_s1_s2/frame000_PYR2_vacuum_reference_nto_s1_s2.s1.mo51a.cube
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,1,False,2,51a->54a,particle,54,a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR2_vacuum_reference_nto_s1_s2/frame000_PYR2_vacuum_reference_nto_s1_s2.s1.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR2_vacuum_reference_nto_s1_s2/frame000_PYR2_vacuum_reference_nto_s1_s2.s1.mo54a.cube
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,2,True,1,52a->53a,hole,52,a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR2_vacuum_reference_nto_s1_s2/frame000_PYR2_vacuum_reference_nto_s1_s2.s2.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR2_vacuum_reference_nto_s1_s2/frame000_PYR2_vacuum_reference_nto_s1_s2.s2.mo52a.cube
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,2,True,1,52a->53a,particle,53,a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR2_vacuum_reference_nto_s1_s2/frame000_PYR2_vacuum_reference_nto_s1_s2.s2.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR2_vacuum_reference_nto_s1_s2/frame000_PYR2_vacuum_reference_nto_s1_s2.s2.mo53a.cube
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,1,False,1,52a->53a,hole,52,a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR3_vacuum_reference_nto_s1_s2/frame000_PYR3_vacuum_reference_nto_s1_s2.s1.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR3_vacuum_reference_nto_s1_s2/frame000_PYR3_vacuum_reference_nto_s1_s2.s1.mo52a.cube
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,1,False,1,52a->53a,particle,53,a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR3_vacuum_reference_nto_s1_s2/frame000_PYR3_vacuum_reference_nto_s1_s2.s1.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR3_vacuum_reference_nto_s1_s2/frame000_PYR3_vacuum_reference_nto_s1_s2.s1.mo53a.cube
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,1,False,2,51a->54a,hole,51,a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR3_vacuum_reference_nto_s1_s2/frame000_PYR3_vacuum_reference_nto_s1_s2.s1.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR3_vacuum_reference_nto_s1_s2/frame000_PYR3_vacuum_reference_nto_s1_s2.s1.mo51a.cube
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,1,False,2,51a->54a,particle,54,a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR3_vacuum_reference_nto_s1_s2/frame000_PYR3_vacuum_reference_nto_s1_s2.s1.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR3_vacuum_reference_nto_s1_s2/frame000_PYR3_vacuum_reference_nto_s1_s2.s1.mo54a.cube
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,2,True,1,52a->53a,hole,52,a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR3_vacuum_reference_nto_s1_s2/frame000_PYR3_vacuum_reference_nto_s1_s2.s2.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR3_vacuum_reference_nto_s1_s2/frame000_PYR3_vacuum_reference_nto_s1_s2.s2.mo52a.cube
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,2,True,1,52a->53a,particle,53,a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR3_vacuum_reference_nto_s1_s2/frame000_PYR3_vacuum_reference_nto_s1_s2.s2.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR3_vacuum_reference_nto_s1_s2/frame000_PYR3_vacuum_reference_nto_s1_s2.s2.mo53a.cube
vacuum_reference,0,PYR4,frame000_PYR4_vacuum_reference_nto_s1_s2,1,False,1,52a->53a,hole,52,a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR4_vacuum_reference_nto_s1_s2/frame000_PYR4_vacuum_reference_nto_s1_s2.s1.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR4_vacuum_reference_nto_s1_s2/frame000_PYR4_vacuum_reference_nto_s1_s2.s1.mo52a.cube
vacuum_reference,0,PYR4,frame000_PYR4_vacuum_reference_nto_s1_s2,1,False,1,52a->53a,particle,53,a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR4_vacuum_reference_nto_s1_s2/frame000_PYR4_vacuum_reference_nto_s1_s2.s1.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR4_vacuum_reference_nto_s1_s2/frame000_PYR4_vacuum_reference_nto_s1_s2.s1.mo53a.cube
vacuum_reference,0,PYR4,frame000_PYR4_vacuum_reference_nto_s1_s2,1,False,2,51a->54a,hole,51,a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR4_vacuum_reference_nto_s1_s2/frame000_PYR4_vacuum_reference_nto_s1_s2.s1.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR4_vacuum_reference_nto_s1_s2/frame000_PYR4_vacuum_reference_nto_s1_s2.s1.mo51a.cube
vacuum_reference,0,PYR4,frame000_PYR4_vacuum_reference_nto_s1_s2,1,False,2,51a->54a,particle,54,a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR4_vacuum_reference_nto_s1_s2/frame000_PYR4_vacuum_reference_nto_s1_s2.s1.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR4_vacuum_reference_nto_s1_s2/frame000_PYR4_vacuum_reference_nto_s1_s2.s1.mo54a.cube
vacuum_reference,0,PYR4,frame000_PYR4_vacuum_reference_nto_s1_s2,2,True,1,52a->53a,hole,52,a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR4_vacuum_reference_nto_s1_s2/frame000_PYR4_vacuum_reference_nto_s1_s2.s2.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR4_vacuum_reference_nto_s1_s2/frame000_PYR4_vacuum_reference_nto_s1_s2.s2.mo52a.cube
vacuum_reference,0,PYR4,frame000_PYR4_vacuum_reference_nto_s1_s2,2,True,1,52a->53a,particle,53,a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR4_vacuum_reference_nto_s1_s2/frame000_PYR4_vacuum_reference_nto_s1_s2.s2.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR4_vacuum_reference_nto_s1_s2/frame000_PYR4_vacuum_reference_nto_s1_s2.s2.mo53a.cube
vacuum_reference,0,PYR5,frame000_PYR5_vacuum_reference_nto_s1_s2,1,True,1,52a->53a,hole,52,a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR5_vacuum_reference_nto_s1_s2/frame000_PYR5_vacuum_reference_nto_s1_s2.s1.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR5_vacuum_reference_nto_s1_s2/frame000_PYR5_vacuum_reference_nto_s1_s2.s1.mo52a.cube
vacuum_reference,0,PYR5,frame000_PYR5_vacuum_reference_nto_s1_s2,1,True,1,52a->53a,particle,53,a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR5_vacuum_reference_nto_s1_s2/frame000_PYR5_vacuum_reference_nto_s1_s2.s1.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR5_vacuum_reference_nto_s1_s2/frame000_PYR5_vacuum_reference_nto_s1_s2.s1.mo53a.cube
vacuum_reference,0,PYR5,frame000_PYR5_vacuum_reference_nto_s1_s2,2,False,1,52a->53a,hole,52,a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR5_vacuum_reference_nto_s1_s2/frame000_PYR5_vacuum_reference_nto_s1_s2.s2.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR5_vacuum_reference_nto_s1_s2/frame000_PYR5_vacuum_reference_nto_s1_s2.s2.mo52a.cube
vacuum_reference,0,PYR5,frame000_PYR5_vacuum_reference_nto_s1_s2,2,False,1,52a->53a,particle,53,a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR5_vacuum_reference_nto_s1_s2/frame000_PYR5_vacuum_reference_nto_s1_s2.s2.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR5_vacuum_reference_nto_s1_s2/frame000_PYR5_vacuum_reference_nto_s1_s2.s2.mo53a.cube
vacuum_reference,0,PYR5,frame000_PYR5_vacuum_reference_nto_s1_s2,2,False,2,51a->54a,hole,51,a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR5_vacuum_reference_nto_s1_s2/frame000_PYR5_vacuum_reference_nto_s1_s2.s2.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR5_vacuum_reference_nto_s1_s2/frame000_PYR5_vacuum_reference_nto_s1_s2.s2.mo51a.cube
vacuum_reference,0,PYR5,frame000_PYR5_vacuum_reference_nto_s1_s2,2,False,2,51a->54a,particle,54,a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR5_vacuum_reference_nto_s1_s2/frame000_PYR5_vacuum_reference_nto_s1_s2.s2.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR5_vacuum_reference_nto_s1_s2/frame000_PYR5_vacuum_reference_nto_s1_s2.s2.mo54a.cube
