run,timestep,r_A,fraction
nvt300_contained_bn_neutralized,0,0.875,0.0009333333333333333
nvt300_contained_bn_neutralized,0,2.625,0.002533333333333333
nvt300_contained_bn_neutralized,0,4.375,0.003966666666666667
nvt300_contained_bn_neutralized,0,6.125,0.005433333333333333
nvt300_contained_bn_neutralized,0,7.875,0.006866666666666667
nvt300_contained_bn_neutralized,0,9.625,0.0087
nvt300_contained_bn_neutralized,0,11.375,0.010133333333333333
nvt300_contained_bn_neutralized,0,13.125,0.011566666666666666
nvt300_contained_bn_neutralized,0,14.875,0.013633333333333334
nvt300_contained_bn_neutralized,0,16.625,0.014466666666666666
nvt300_contained_bn_neutralized,0,18.375,0.0163
nvt300_contained_bn_neutralized,0,20.125,0.017233333333333333
nvt300_contained_bn_neutralized,0,21.875,0.0206
nvt300_contained_bn_neutralized,0,23.625,0.021633333333333334
nvt300_contained_bn_neutralized,0,25.375,0.0224
nvt300_contained_bn_neutralized,0,27.125,0.0244
nvt300_contained_bn_neutralized,0,28.875,0.0266
nvt300_contained_bn_neutralized,0,30.625,0.0262
nvt300_contained_bn_neutralized,0,32.375,0.030033333333333332
nvt300_contained_bn_neutralized,0,34.125,0.0312
nvt300_contained_bn_neutralized,0,35.875,0.03233333333333333
nvt300_contained_bn_neutralized,0,37.625,0.0328
nvt300_contained_bn_neutralized,0,39.375,0.03383333333333333
nvt300_contained_bn_neutralized,0,41.125,0.03673333333333333
nvt300_contained_bn_neutralized,0,42.875,0.037866666666666667
nvt300_contained_bn_neutralized,0,44.625,0.0399
nvt300_contained_bn_neutralized,0,46.375,0.0437
nvt300_contained_bn_neutralized,0,48.125,0.045
nvt300_contained_bn_neutralized,0,49.875,0.049
nvt300_contained_bn_neutralized,0,51.625,0.051833333333333335
nvt300_contained_bn_neutralized,0,53.375,0.052333333333333336
nvt300_contained_bn_neutralized,0,55.125,0.05043333333333333
nvt300_contained_bn_neutralized,0,56.875,0.04636666666666667
nvt300_contained_bn_neutralized,0,58.625,0.037866666666666667
nvt300_contained_bn_neutralized,0,60.375,0.029266666666666667
nvt300_contained_bn_neutralized,0,62.125,0.021166666666666667
nvt300_contained_bn_neutralized,0,63.875,0.013066666666666667
nvt300_contained_bn_neutralized,0,65.625,0.010066666666666666
nvt300_contained_bn_neutralized,0,67.375,0.013433333333333334
nvt300_contained_bn_neutralized,0,69.125,0.005566666666666667
nvt300_contained_bn_neutralized,0,70.875,0.0019333333333333333
nvt300_contained_bn_neutralized,0,72.625,0.0006666666666666666
nvt300_contained_bn_neutralized,0,74.375,0.0
nvt300_contained_bn_neutralized,0,76.125,0.0
nvt300_contained_bn_neutralized,0,77.875,0.0
nvt300_contained_bn_neutralized,0,79.625,0.0
nvt300_contained_bn_neutralized,0,81.375,0.0
nvt300_contained_bn_neutralized,0,83.125,0.0
nvt300_contained_bn_neutralized,0,84.875,0.0
nvt300_contained_bn_neutralized,0,86.625,0.0
nvt300_contained_bn_neutralized,0,88.375,0.0
nvt300_contained_bn_neutralized,0,90.125,0.0
nvt300_contained_bn_neutralized,0,91.875,0.0
nvt300_contained_bn_neutralized,0,93.625,0.0
nvt300_contained_bn_neutralized,0,95.375,0.0
nvt300_contained_bn_neutralized,0,97.125,0.0
nvt300_contained_bn_neutralized,0,98.875,0.0
nvt300_contained_bn_neutralized,0,100.625,0.0
nvt300_contained_bn_neutralized,0,102.375,0.0
nvt300_contained_bn_neutralized,0,104.125,0.0
nvt300_contained_bn_neutralized,0,105.875,0.0
nvt300_contained_bn_neutralized,0,107.625,0.0
nvt300_contained_bn_neutralized,0,109.375,0.0
nvt300_contained_bn_neutralized,0,111.125,0.0
nvt300_contained_bn_neutralized,0,112.875,0.0
nvt300_contained_bn_neutralized,0,114.625,0.0
nvt300_contained_bn_neutralized,0,116.375,0.0
nvt300_contained_bn_neutralized,0,118.125,0.0
nvt300_contained_bn_neutralized,0,119.875,0.0
nvt300_contained_bn_neutralized,0,121.625,0.0
nvt300_contained_bn_neutralized,0,123.375,0.0
nvt300_contained_bn_neutralized,0,125.125,0.0
nvt300_contained_bn_neutralized,0,126.875,0.0
nvt300_contained_bn_neutralized,0,128.625,0.0
nvt300_contained_bn_neutralized,0,130.375,0.0
nvt300_contained_bn_neutralized,0,132.125,0.0
nvt300_contained_bn_neutralized,0,133.875,0.0
nvt300_contained_bn_neutralized,0,135.625,0.0
nvt300_contained_bn_neutralized,0,137.375,0.0
nvt300_contained_bn_neutralized,0,139.125,0.0
nvt300_contained_bn_neutralized,1000,0.875,0.0009
nvt300_contained_bn_neutralized,1000,2.625,0.0026333333333333334
nvt300_contained_bn_neutralized,1000,4.375,0.0037333333333333333
nvt300_contained_bn_neutralized,1000,6.125,0.0058
nvt300_contained_bn_neutralized,1000,7.875,0.006466666666666667
nvt300_contained_bn_neutralized,1000,9.625,0.0087
nvt300_contained_bn_neutralized,1000,11.375,0.0101
nvt300_contained_bn_neutralized,1000,13.125,0.0119
nvt300_contained_bn_neutralized,1000,14.875,0.0136
nvt300_contained_bn_neutralized,1000,16.625,0.014233333333333334
nvt300_contained_bn_neutralized,1000,18.375,0.016233333333333332
